Estacao;Dia;Mes;Ano;Hora;VelocidadeVentoMedia;InsolacaoTotal;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia
82280;31;5;2012;0;1.994.624;238.1;86.4;31.874.194;24.583.871;83.217.742
82280;30;6;2012;0;1.932.222;207.2;50.8;31.553.333;24.169.231;84.175
82280;31;7;2012;0;1.834.409;227.3;60.5;31.644.828;24.4;84
82280;31;8;2012;0;2.467.742;262.3;11.2;33.070.968;24.012.903;79.314.516
82280;30;9;2012;0;281.573;269.4;0.2;33.086.667;24.636.667;75.583.333
82280;31;10;2012;0;3.047.312;225.4;0;33.177.419;25.164.516;75.185.484
82280;30;11;2012;0;3.04;203.6;1.6;33.56;25.396.667;75.183.333
82280;31;12;2012;0;2.883.871;211.4;0.8;33.645.161;25.616.129;76.583.333
82280;31;1;2013;0;2.490.323;202.2;60;32.783.871;25.332.258;78.395.161
82280;28;2;2013;0;2.355.952;177.6;279.4;32.35;25.110.714;80.142.857
82280;31;3;2013;0;2.243.011;146.5;319.1;31.364.516;2.516.129;84.153.226
82280;30;4;2013;0;1.492.222;141.9;267.8;31.38;24.703.333;85.491.667
82280;31;5;2013;0;1.431.183;192.5;186.3;32.226.087;24.519.355;84.564.516
82280;30;6;2013;0;1.805.556;225.3;203.4;NA;23.989.655;82.775
82280;31;7;2013;0;1.552.688;212.6;203.7;NA;23.870.968;85.145.161
82280;31;8;2013;0;223.871;273.6;15;NA;24.941.935;80.201.613
82280;30;9;2013;0;2.747.191;269;4.4;NA;25.263.333;76.225
82280;31;10;2013;0;3.034.409;286.7;0.8;NA;25.393.548;7.516.129
82280;30;11;2013;0;2.805.556;236.1;13.8;NA;25.393.333;76.766.667
82280;31;12;2013;0;2.731.183;252.3;40.5;NA;2.533.871;76.201.613
82280;31;1;2014;0;2.153.763;158.8;149.6;NA;24.325.806;82.491.935
82280;28;2;2014;0;177.381;105;251;NA;24.353.571;85.366.071
82280;31;3;2014;0;1.790.323;123;161;NA;24.506.452;84.379.032
82280;30;4;2014;0;1.49;137.3;244.3;NA;24.283.333;86.683.333
82280;31;5;2014;0;1.209.677;113.2;760.7;NA;24.051.613;88.669.355
82280;30;6;2014;0;1.552.222;211.4;185.5;NA;24.282.143;84.15
82280;31;7;2014;0;1.989.247;255.7;44.3;NA;24.451.613;81.217.742
82280;31;8;2014;0;2.254.839;277.9;3.8;NA;24.322.581;77.870.968
82280;30;9;2014;0;2.813.333;266.6;0.5;NA;25.103.333;76.183.333
82280;31;10;2014;0;2.882.796;282.4;2.2;NA;25.223.333;75.983.871
82280;30;11;2014;0;2.854.444;263.3;1.8;33.282.353;24.993.333;75.6
82280;31;12;2014;0;296.129;226.1;29.2;32.967.742;25.451.613;75.145.161
82280;31;1;2015;0;2.684.803;224.9;30.2;32.506.452;25.032.258;76.258.065
82280;28;2;2015;0;2.291.667;NA;90.7;31.985.714;24.803.571;81.276.786
82280;31;3;2015;0;1.580.645;117.6;425.9;30.551.613;24.209.677;85.887.097
82280;30;4;2015;0;1.571.111;145;366.5;31.093.333;24.403.333;87.383.333
82280;31;5;2015;0;1.491.398;172.8;399.7;31.683.871;2.446.129;85.870.968
82280;30;6;2015;0;2.209.231;228.1;106.7;32.146.667;23.92;NA
82280;31;7;2015;0;235.806;247.9;75.9;32.348.387;24.3;NA
82280;31;8;2015;0;2.830.645;283.8;0;32.993.548;24.306.452;NA
82280;30;9;2015;0;3.323.333;252.2;0;32.763.333;24.966.667;NA
82280;31;10;2015;0;3.512.903;269.7;0;33.364.516;25.248.387;NA
82280;30;11;2015;0;3.47;260.5;0.3;33.476.667;25.483.333;NA
82280;31;12;2015;0;3.493.548;257.6;11.3;33.887.097;26.180.645;NA
82280;31;1;2016;0;2.717.742;134.1;204.5;31.445.161;25.280.645;NA
82280;29;2;2016;0;2.332.759;138.7;140.8;31.903.448;25.075.862;NA
82280;31;3;2016;0;2.040.323;102.4;362.1;31.103.226;24.890.323;NA
82280;30;4;2016;0;2.041.667;139.4;327.4;32.283.333;24.886.207;NA
82280;31;5;2016;0;2.166.129;181.7;264.9;32.212.903;24.537.931;NA
82280;30;6;2016;0;2.093.333;197.4;133.4;32.176.667;23.975;NA
82280;31;7;2016;0;2.175.806;216.1;52.1;32.490.323;23.867.742;NA
82280;31;8;2016;0;256.875;263;13.4;32.725.806;24.432.258;NA
82280;30;9;2016;0;2.692.222;248.8;1.8;32.986.667;24.886.667;NA
82280;31;10;2016;0;2.804.348;267.3;0;33.758.065;25.374.194;NA
82280;30;11;2016;0;2.983.333;237.4;0;33.82;25.75;NA
82280;31;12;2016;0;2.505.721;179.5;42.9;3.327.931;25.558.065;NA
82280;31;1;2017;0;1.944.318;117.4;380;31.545.161;24.580.645;NA
82280;28;2;2017;0;1.543.056;85.6;355.4;30.207.143;23.939.286;NA
82280;31;3;2017;0;1.210.667;76.5;442.8;30.390.323;23.790.323;NA
82280;30;4;2017;0;1.522.222;140.6;362.1;31.583.333;24.26;NA
82280;31;5;2017;0;1.429.412;169.5;329.9;32.132.258;24.196.774;NA
82280;30;6;2017;0;1.294.667;188.6;120.6;32.485.714;23.996.667;NA
82280;31;7;2017;0;1.188;237.3;201.4;32.793.103;23.146.667;NA
82280;31;8;2017;0;2.213.483;268;4.8;32.987.097;24.229.032;NA
82280;30;9;2017;0;25.375;257.1;0;33.786.207;25.036.667;NA
82280;31;10;2017;0;2.788.043;263.8;1.2;33.593.548;25.710.345;NA
82280;30;11;2017;0;2.828.889;225.8;0.6;33.18;25.160.714;NA
82280;31;12;2017;0;2.553.889;199.5;63.2;32.412.903;25.441.935;NA
