Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1967	10	45,3	13,6	17,8	48,2	58,1	64,7	118	23,2	54,4
1967	11	6	25	2,4	3	0	3,3	5,5	1,6	97,7
1967	12	55,5	191,8	9,2	11,5	4,2	30,2	56,4	87,8	267,5
1968	1	168,8	57,7	260	51,6	88,6	218,4	118,9	95,9	200,2
1968	2	365,7	303,1	101,6	38,8	64,6	135,7	34,5	38,8	294,8
1968	3	525,1	654	211,4	213,9	354	407,2	243,5	243,5	288,1
1968	4	361,3	141,1	341,7	208,5	182,5	249,9	192,3	116,4	193,4
1968	5	310,8	199	291,3	149,9	112	226,3	547,4	495,6	467,9
1968	6	117,2	0,2	20,4	61,5	85,6	162,6	221,6	186,9	364,1
1968	7	62,7	7,3	59,9	220	221,5	260,5	196,9	133,8	127,4
1968	8	5,2	5,5	11	27,5	64,1	112,2	267,8	80,8	102,5
1968	9	0	7,3	6,7	2,9	98,3	71,6	116,8	46,5	126,8
1968	10	25,4	15,5	27,2	4,2	0	22,4	15,9	1,9	83,2
1968	11	26,2	215,7	2,3	3,1	7,4	7,3	43,1	86,3	159,2
1968	12	173,4	183,3	46,7	21,6	21	51,4	48,5	5,3	96,2
1969	1	266	290,8	81,2	93,1	76	156,7	99,9	43,1	100,7
1969	2	205,8	101,5	100,6	96,3	48,7	25,4	142,3	61,1	133,4
1969	3	385	279,8	489,7	168,6	198,8	178,5	179,2	219,7	287,5
1969	4	376,1	187,9	349,6	195,8	380,6	96	465	143,8	234,1
1969	5	375,3	59	374,7	160,4	413	457,8	484,9	387	592,2
1969	6	216,6	9,7	151,5	252,8	547,5	497,6	335,5	196,7	361,8
1969	7	296,7	16,2	183,9	202,6	350	455,3	631,2	154,8	164,4
1969	8	46,5	5,5	26,8	170,1	130	235,4	100	27,7	122,3
1969	9	0	18,9	19,4	19,6	57	70,6	107,6	35,7	83,9
1969	10	19,4	22,2	19,9	8,4	42,2	20,1	65,7	13	46,1
1969	11	41,1	50,3	1,5	4,5	9,5	43,3	36,3	1,1	39,5
